State, PC No. ,PC Name ,Category ,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
Jammu And Kashmir,1,Baramulla,GEN,Sharifuddin Shariq,M,J&KNC,203022,Mohammad Dilawar Mir,M,JKPDP,138208
Jammu And Kashmir,2,Srinagar,GEN,Dr. Farooq Abdullah,M,J&KNC,147035,Iftikhar Hussain Ansari,M,JKPDP,116793
Jammu And Kashmir,3,Anantnag,GEN,Dr. Mirza Mehboob Beg,M,J&KNC,148317,Peer Mohd Hussain ,M,JKPDP,143093
Jammu And Kashmir,4,Ladakh,(ST),Hassan Khan,M,IND,32701,Phuntsog Namgyal,M,INC,29017
Jammu And Kashmir,5,Udhampur,GEN,Chaudhary Lal Singh,M,INC,231853,Dr. Nirmal Singh,M,BJP,218459
Jammu And Kashmir,6,Jammu,GEN,Madan Lal Sharma,M,INC,382305,Lila Karan Sharma,M,BJP,260932
Jharkhand,1,Rajmahal,(ST),Devidhan Besra,M,BJP,168357,Hemlal Murmu,M,JMM,159374
Jharkhand,2,Dumka,(ST),Shibu Soren,M,JMM,208518,Sunil Soren,M,BJP,189706
Jharkhand,3,Godda,GEN,Nishikant Dubey,M,BJP,189526,Furkan Ansari,M,INC,183119
Jharkhand,4,Chatra,GEN,Inder Singh Namdhari,M,IND,108336,Dhiraj Prasad Sahu,M,INC,92158
Jharkhand,5,Kodarma,GEN,"Babu Lal Marandi,",M,JVM,199462,Raj Kumar Yadav,M,CPI(ML)(L),150942
Jharkhand,6,Giridih,GEN,Ravindra Kumar Pandey,M,BJP,233435,Teklal Mahto,M,JMM,138697
Jharkhand,7,Dhanbad,GEN,Pashupati Nath Singh,M,BJP,260521,Chandrashekhar Dubey,M,INC,202474
Jharkhand,8,Ranchi,GEN,Subodh Kant Sahai,M,INC,310499,Ram Tahal Choudhary,M,BJP,297149
Jharkhand,9,Jamshedpur,GEN,Dr. (Shri) Ajay Kumar,M,JVM,319620,Suman Mahato,M,JMM,199957
Jharkhand,<b>By Polls (2011)</b>,Jamshedpur,GEN,Ajay Kumar,M,J.V.M (P),276582,D. Goswami,M,BJP,120856
Jharkhand,10,Singhbhum,(SC),Madhu Kora,M,IND,256827,Barkuwar Gagrai,M,BJP,167154
Jharkhand,11,Khunti,(ST),Kariya Munda,M,BJP,210214,Neil Tirkey,M,INC,130039
Jharkhand,12,Lohardaga,(ST),Sudarshan Bhagat,M,BJP,144628,Chamra Linda,M,IND,136345
Jharkhand,13,Palamu,(SC),Kameshwar Baitha,M,JMM,167995,Ghuran Ram,M,RJD,144457
Jharkhand,14,Hazaribagh,GEN,Yashwant Sinha,M,BJP,219810,Saurabh Narain Singh,M,INC,179646
Karnataka,1,Chikkodi,GEN,Ramesh Vishwanath Katti,M,BJP,438081,Prakash Babanna Hukkeri,M,INC,382794
Karnataka,2,Belgaum,GEN,Suresh Chanabasappa Angadi,M,BJP,384324,Amarsinh Vasantrao Patil,M,INC,265637
Karnataka,3,Bagalkot,GEN,Parvatagouda Chandanagouda Gaddigoudar,M,BJP,413272,J.T.Patil,M,INC,377826
Karnataka,4,Bijapur,(SC),Ramesh Chandappa Jigajinagi,M,BJP,308939,Prakash Kubasing Rathod,M,INC,266535
Karnataka,5,Gulbarga,(SC),Mallikarjun Kharge,M,INC,345241,Revunaik Belamgi,M,BJP,331837
Karnataka,6,Raichur,(ST),S. Pakkirappa,M,BJP,316450,Raja Venkatappa Naik,M,INC,285814
Karnataka,7,Bidar,GEN,N.Dharam Singh,M,INC,337957,Gurupadappa Nagmarpalli,M,BJP,298338
Karnataka,8,Koppal,GEN,Shivaramagouda,M,BJP,291693,Basavaraj Rayareddy,M,INC,209904
Karnataka,9,Bellary,(ST),Smt. J. Shantha,F,BJP,402213,N.Y. Hanumanthappa,M,INC,399970
Karnataka,10,Haveri ,GEN,Shivkumar Chanabasappa Udasi,M,BJP,430293,Saleem Ahamed,M,INC,342373
Karnataka,11,Dharwad,GEN,Pralhad Venkatesh Joshi,M,BJP,446786,Kunnur Manjunath Channappa,M,INC,309123
Karnataka,12,Uttara Kannada,GEN,Anant Kumar Dattatreya Hegde,M,BJP,339300,Alva Margaret,M,INC,316531
Karnataka,13,Davanagere,GEN,Gowdar Mallikarjunappa Siddeshwara,M,BJP,423447,S.S. Mallikarjuna,M,INC,421423
Karnataka,14,Shimoga,GEN,Raghavendra Yeddyurappa,M,BJP,482783,S. Bangarappa,M,INC,429890
Karnataka,15,Udupi Chikmagalur,GEN,Jayaprakash Korgi Hegde,M,INC,401441,D.V.Sadananda Gowda,M,BJP,374423
Karnataka,<b>By Polls (2012)</b>,Udupi Chikmagalur,GEN,K.J. Hegde,M,INC,398723,S. Kumar V.,M,BJP,352999
Karnataka,16,Hassan,GEN,H.D. Devegowda,M,JD(S),496429,K. H. Hanume Gowda,M,BJP,205316
Karnataka,17,Dakshina Kannada,GEN,Nalin Kumar Kateel,M,BJP,499385,Janardhana Poojary,M,INC,458965
Karnataka,18,Chitradurga,(SC),Janardhana Swamy,M,BJP,370920,Dr. B Thippeswamy,M,INC,235349
Karnataka,19,Tumkur,GEN,Gangasandra Siddappa Basavaraj,M,BJP,331064,Muddahanumegowda S.P.,M,JD(S),309619
Karnataka,20,Mandya,GEN,N. Chaluvaraya Swamy,M,JD(S),384443,M H Ambareesh,M,INC,360943
Karnataka,21,Mysore,GEN,Adagooru Huchegowda Vishwanath,M,INC,354810,C.H.Vijayashankar,M,BJP,347119
Karnataka,22,Chamarajanagar,(SC),Rangaswamy Dhruvanarayana,M,INC,369970,A.R.Krishnamurthy,M,BJP,365968
